====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = Fe   Energy = 3500  keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   107.6E+02 A   Straggling =   206.9E+01 A
 Ion Lateral Range =   189.7E+01 A   Straggling =   237.5E+01 A
 Ion Radial  Range =   296.9E+01 A   Straggling =   153.5E+01 A
====================================================================
 Range Skewne- = -000.8957  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 004.2190  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         Fe       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
200010.E-03  0.0000E+00  0.0000E+00
400010.E-03  5.0000E+01  0.0000E+00
600010.E-03  5.0000E+01  0.0000E+00
800010.E-03  1.0000E+02  0.0000E+00
100001.E-02  0.0000E+00  0.0000E+00
120001.E-02  1.0000E+02  0.0000E+00
140001.E-02  5.0000E+01  0.0000E+00
160001.E-02  0.0000E+00  0.0000E+00
180001.E-02  1.0000E+02  0.0000E+00
200001.E-02  1.0000E+02  0.0000E+00
220001.E-02  5.0000E+01  0.0000E+00
240001.E-02  4.0000E+02  0.0000E+00
260001.E-02  2.0000E+02  0.0000E+00
280001.E-02  2.5000E+02  0.0000E+00
300001.E-02  2.5000E+02  0.0000E+00
320001.E-02  2.5000E+02  0.0000E+00
340001.E-02  1.5000E+02  0.0000E+00
360001.E-02  2.5000E+02  0.0000E+00
380001.E-02  4.0000E+02  0.0000E+00
400001.E-02  3.5000E+02  0.0000E+00
420001.E-02  6.0000E+02  0.0000E+00
440001.E-02  5.5000E+02  0.0000E+00
460001.E-02  1.0500E+03  0.0000E+00
480001.E-02  6.5000E+02  0.0000E+00
500001.E-02  7.5000E+02  0.0000E+00
520001.E-02  1.1500E+03  0.0000E+00
540001.E-02  1.4000E+03  0.0000E+00
560001.E-02  1.8000E+03  0.0000E+00
580001.E-02  1.7500E+03  0.0000E+00
